Year,Apples,Grapes,Oranges,Grapefruit,Bananas,ApPr,BaPr,GrPr,GfPr,OrPr
1990,19.6,7.8,12.4,4.4,24.4,$0.72 ,$0.46 ,$1.26 ,$0.66 ,$0.57 
1991,18.1,7.3,8.4,5.9,25,$0.89 ,$0.48 ,$1.40 ,$0.62 ,$0.78 
1992,19.1,7.1,12.8,5.9,27.1,$0.89 ,$0.46 ,$1.29 ,$0.61 ,$0.57 
1993,19,7,14.1,6.2,26.6,$0.83 ,$0.44 ,$1.46 ,$0.53 ,$0.55 
1994,19.4,7,12.9,6.1,27.8,$0.80 ,$0.46 ,$1.51 ,$0.51 ,$0.55 
1995,18.7,7.5,11.8,6,27.1,$0.83 ,$0.49 ,$1.55 ,$0.55 ,$0.62 
1996,18.7,6.7,12.6,5.8,27.6,$0.93 ,$0.49 ,$1.69 ,$0.57 ,$0.62 
1997,18.1,7.8,13.9,6.2,27.2,$0.91 ,$0.49 ,$1.71 ,$0.56 ,$0.60 
1998,19,7.2,14.6,5.9,28,$0.94 ,$0.49 ,$1.59 ,$0.60 ,$0.56 
1999,18.5,8,8.4,5.8,30.7,$0.90 ,$0.49 ,$1.84 ,$0.65 ,$0.84 
2000,17.5,7.4,11.7,5.1,28.4,$0.92 ,$0.50 ,$1.75 ,$0.61 ,$0.63 
2001,15.6,7.4,11.9,4.8,26.6,$0.87 ,$0.51 ,$1.85 ,$0.65 ,$0.72 
2002,16,8.4,11.7,4.6,26.8,$0.95 ,$0.51 ,$1.89 ,$0.65 ,$0.84 
2003,16.9,7.7,11.9,4.1,26.2,$0.98 ,$0.51 ,$1.90 ,$0.72 ,$0.84 
2004,18.8,7.8,10.8,4.1,25.8,$1.04 ,$0.50 ,$2.06 ,$0.82 ,$0.86 
2005,16.7,8.6,11.4,2.6,25.2,$0.95 ,$0.49 ,$2.08 ,$1.09 ,$1.00 
2006,17.7,7.6,10.2,2.3,25.1,$1.07 ,$0.50 ,$2.25 ,$1.11 ,$1.09 
2007,16.4,8,7.5,2.8,26,$1.12 ,$0.51 ,$2.09 ,$0.96 ,$1.28 
2008,15.9,8.5,9.9,3.2,25,$1.32 ,$0.61 ,$2.21 ,$0.97 ,$1.12 
2009,16.3,7.9,9.1,2.8,22,$1.18 ,$0.61 ,$2.11 ,$0.90 ,$1.05 
2010,15.3,8.2,9.7,2.8,25.6,$1.22 ,$0.58 ,$2.18 ,$0.93 ,$1.06 
2011,15.4,7.6,10,2.7,25.5,$1.35 ,$0.61 ,$2.39 ,$0.98 ,$1.10 
2012,16,7.8,10.8,2.4,25.4,$1.38 ,$0.60 ,$2.49 ,$1.08 ,$1.05 
